PERIOD_INDEX,OBSERVATION_WEEK,OBSERVATION_START,OBSERVATION_END,PERIOD_KEY,N225_DAY_BAR_COUNT,N225_DAY_OPEN,N225_DAY_HIGH,N225_DAY_LOW,N225_DAY_CLOSE,N225_DAY_VOLUME,N225_NIGHT_BAR_COUNT,N225_NIGHT_OPEN,N225_NIGHT_HIGH,N225_NIGHT_LOW,N225_NIGHT_CLOSE,N225_NIGHT_VOLUME,DATA_STATUS
39,2025-10-W1,2025-09-29,2025-10-03,2025-09-29__2025-10-03,842,45220.0,45250.0,44780.0,44930.0,53242.0,1560,44980.0,45280.0,44920.0,45230.0,16192.0,DAY_DATA_AVAILABLE
40,2025-10-W2,2025-10-06,2025-10-10,2025-10-06__2025-10-10,0,,,,,,0,,,,,,NO_DAY_DATA
41,2025-10-W3,2025-10-14,2025-10-17,2025-10-14__2025-10-17,0,,,,,,0,,,,,,NO_DAY_DATA
42,2025-10-W4,2025-10-20,2025-10-24,2025-10-20__2025-10-24,0,,,,,,0,,,,,,NO_DAY_DATA
43,2025-10-W5,2025-10-27,2025-10-31,2025-10-27__2025-10-31,0,,,,,,0,,,,,,NO_DAY_DATA
44,2025-11-W1,2025-11-04,2025-11-07,2025-11-04__2025-11-07,0,,,,,,0,,,,,,NO_DAY_DATA
45,2025-11-W2,2025-11-10,2025-11-14,2025-11-10__2025-11-14,0,,,,,,0,,,,,,NO_DAY_DATA
46,2025-11-W3,2025-11-17,2025-11-21,2025-11-17__2025-11-21,0,,,,,,0,,,,,,NO_DAY_DATA
47,2025-11-W4,2025-11-25,2025-11-28,2025-11-25__2025-11-28,0,,,,,,0,,,,,,NO_DAY_DATA
48,2025-12-W1,2025-12-01,2025-12-05,2025-12-01__2025-12-05,0,,,,,,0,,,,,,NO_DAY_DATA
49,2025-12-W2,2025-12-08,2025-12-12,2025-12-08__2025-12-12,0,,,,,,0,,,,,,NO_DAY_DATA
50,2025-12-W3,2025-12-15,2025-12-19,2025-12-15__2025-12-19,0,,,,,,0,,,,,,NO_DAY_DATA
51,2025-12-W4,2025-12-22,2025-12-26,2025-12-22__2025-12-26,0,,,,,,0,,,,,,NO_DAY_DATA
52,2025-12-W5,2025-12-29,2025-12-30,2025-12-29__2025-12-30,0,,,,,,0,,,,,,NO_DAY_DATA
