ANALYSIS_TYPE,GAP_BUCKET,PREV_RANGE_BUCKET,OPEN_LOCATION,N225_DIMENSION,N225_VALUE,BASE_SAMPLE,CONDITIONAL_SAMPLE,BASE_AVG_MAX_UP_PCT,N225_AVG_MAX_UP_PCT,DELTA_MAX_UP_PCT,BASE_AVG_MAX_DOWN_PCT,N225_AVG_MAX_DOWN_PCT,DELTA_MAX_DOWN_PCT,BASE_AVG_CLOSE_PCT,N225_AVG_CLOSE_PCT,DELTA_CLOSE_PCT
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RETURN_10M,-0.5~-0.2%,201675,46591,1.1499485636137547,1.0492441926555298,-8.757293512481795,-1.0395238850803967,-1.146730595201382,-10.313058858930779,0.022798387784837313,-0.09558863989628798,-519.2780682494654
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,DIRECTION,FLAT_MIXED,201675,12406,1.1499485636137547,1.1200714577047093,-2.598125416597381,-1.0395238850803967,-0.9679096915024321,6.889134016620116,0.022798387784837313,0.06132620847700826,168.99361944266482
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,NIGHT_RETURN,1~2%,201675,16400,1.1499485636137547,1.163886875800983,1.2120813598328823,-1.0395238850803967,-1.0479101073857164,-0.8067368557549904,0.022798387784837313,-0.07098191293553253,-411.34619520219314
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RETURN_5M,-0.5~-0.2%,201675,18942,1.1499485636137547,1.2270526774585118,6.705005448457152,-1.0395238850803967,-1.035975656420454,0.3413320954783279,0.022798387784837313,0.15300561225273115,571.1247027497782
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RETURN_10M,0.2~0.5%,201675,42084,1.1499485636137547,1.249491120618758,8.656261693321934,-1.0395238850803967,-0.9199246593418909,11.505192661278388,0.022798387784837313,0.1778147153900314,679.9442533751966
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,DIRECTION,UP,201675,43487,1.1499485636137547,1.2616525685011288,9.713826202481632,-1.0395238850803967,-0.9155427729581936,11.926720867276117,0.022798387784837313,0.15814172670524015,593.6531135347062
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,PERSISTENCE,UP_PERSISTENT,201675,43487,1.1499485636137547,1.2616525685011288,9.713826202481632,-1.0395238850803967,-0.9155427729581936,11.926720867276117,0.022798387784837313,0.15814172670524015,593.6531135347062
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RETURN_5M,0.2~0.5%,201675,25350,1.1499485636137547,1.2009264693879365,4.433059650423129,-1.0395238850803967,-0.9798439289716308,5.7410856032567565,0.022798387784837313,0.0712667571386029,212.5956002292442
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RANGE_10M,0.1~0.2%,201675,2338,1.1499485636137547,1.274492567863491,10.830397827390845,-1.0395238850803967,-0.8584884350787623,17.41522754791086,0.022798387784837313,0.2177161931277616,854.9631104729242
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,NIGHT_RETURN,-0.5~0%,201675,49626,1.1499485636137547,1.1503236883001469,0.032620996996010974,-1.0395238850803967,-1.004793516261455,3.340988053993171,0.022798387784837313,0.07046467319312039,209.07743941431173
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RETURN_10M,0.5~1%,201675,5886,1.1499485636137547,1.3253529790487497,15.253240100042412,-1.0395238850803967,-0.9156047143305702,11.920762238208948,0.022798387784837313,0.13494381343618486,491.90068486304506
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RETURN_10M,>=1%,201675,61,1.1499485636137547,0.9305173789274718,-19.08182605982937,-1.0395238850803967,-2.504577481374105,-140.9350585706264,0.022798387784837313,-0.7336060766187823,-3317.7980458192183
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RANGE_10M,1~2%,201675,2153,1.1499485636137547,1.980030799033755,72.18429255752422,-1.0395238850803967,-1.1307553207420038,-8.776271230607774,0.022798387784837313,0.7934273337652135,3380.190534757479
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,NIGHT_RETURN,<-2%,201675,806,1.1499485636137547,1.557361507922733,35.42879718277732,-1.0395238850803967,-2.4760937456266383,-138.19498341157762,0.022798387784837313,-0.36174207774779527,-1686.7002577628832
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RETURN_5M,>=0.5%,201675,1367,1.1499485636137547,1.5601021376363156,35.66712346973489,-1.0395238850803967,-0.8901705293340058,14.367477062332243,0.022798387784837313,0.551860001296018,2320.6097663758815
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,NIGHT_RETURN,>=2%,201675,291,1.1499485636137547,3.78694955693654,229.31469082720665,-1.0395238850803967,-0.6127271099366685,41.05694744192625,0.022798387784837313,2.3004215628324753,9990.281753881005
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RETURN_5M,<-0.5%,201675,313,1.1499485636137547,1.321691773744983,14.934860181182275,-1.0395238850803967,-2.5282717471749416,-143.21439684662997,0.022798387784837313,-0.716806514907247,-3244.1105470799066
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,RETURN_10M,-1~-0.5%,201675,2593,1.1499485636137547,1.2883915420291083,12.039058336686951,-1.0395238850803967,-1.2631564238355322,-21.512977427915445,0.022798387784837313,-0.01669812874739832,-173.24258585733796
CONDITIONAL,0~1%,>=10,BETWEEN_PREV_HIGH_LOW,PERSISTENCE,FLAT_PERSISTENT,201675,1649,1.1499485636137547,1.0627355321303344,-7.584081083535615,-1.0395238850803967,-1.0656388345614818,-2.512202928272815,0.022798387784837313,-0.36541269813688426,-1702.800608470709
CONDITIONAL,-1~0%,>=10,BELOW_PREV_LOW,DIRECTION,DOWN,29747,6016,1.1248200296753124,0.9957086257737386,-11.478405477793872,-0.9686664307174855,-1.1396489439626023,-17.651330512039227,0.05803214827641764,-0.1238386067217052,-313.396557597419
CONDITIONAL,-1~0%,>=10,BELOW_PREV_LOW,PERSISTENCE,DOWN_PERSISTENT,29747,6016,1.1248200296753124,0.9957086257737386,-11.478405477793872,-0.9686664307174855,-1.1396489439626023,-17.651330512039227,0.05803214827641764,-0.1238386067217052,-313.396557597419
